SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
20MICRONS, BE, 05-Oct-2023, 147.10, 152.80, 154.45, 148.00, 154.45, 154.45, 153.65, 302197, 464.33, 1294, -, -
21STCENMGM, EQ, 05-Oct-2023, 19.40, 19.25, 19.60, 19.10, 19.50, 19.50, 19.44, 2800, 0.54, 24, 1630, 58.21
360ONE, EQ, 05-Oct-2023, 496.75, 496.00, 500.00, 487.55, 493.85, 493.95, 494.14, 379048, 1873.04, 8126, 277303, 73.16
3IINFOLTD, EQ, 05-Oct-2023, 41.15, 41.45, 41.95, 40.65, 41.10, 41.00, 41.26, 684532, 282.41, 4250, 278155, 40.63
3MINDIA, EQ, 05-Oct-2023, 30946.45, 31328.00, 31328.00, 30464.50, 30985.00, 30904.35, 30728.96, 3267, 1003.92, 1481, 1942, 59.44
3PLAND, EQ, 05-Oct-2023, 27.70, 30.30, 30.45, 29.00, 30.45, 30.45, 30.37, 67870, 20.61, 275, 45696, 67.33
563GS2026, GS, 05-Oct-2023, 102.00, 102.00, 102.00, 102.00, 102.00, 102.00, 102.00, 1, 0.00, 1, 1, 100.00
574GS2026, GS, 05-Oct-2023, 98.00, 99.00, 99.00, 99.00, 99.00, 99.00, 99.00, 105, 0.10, 6, 105, 100.00
5PAISA, EQ, 05-Oct-2023, 412.55, 415.85, 435.00, 415.85, 430.00, 429.55, 428.15, 57678, 246.95, 6377, 19220, 33.32
610GS2031, GS, 05-Oct-2023, 94.75, 94.70, 94.70, 94.70, 94.70, 94.70, 94.70, 515, 0.49, 2, 515, 100.00
618GS2024, GS, 05-Oct-2023, 102.00, 101.00, 101.00, 101.00, 101.00, 101.00, 101.00, 358, 0.36, 2, 358, 100.00
63MOONS, EQ, 05-Oct-2023, 266.90, 269.00, 273.95, 267.40, 271.00, 271.00, 270.55, 45960, 124.34, 2863, 24788, 53.93
654GS2032, GS, 05-Oct-2023, 96.00, 97.50, 97.50, 97.50, 97.50, 97.50, 97.50, 2, 0.00, 2, 2, 100.00
667GS2035, GS, 05-Oct-2023, 97.50, 97.50, 97.50, 97.50, 97.50, 97.50, 97.50, 1, 0.00, 1, 1, 100.00
667GS2050, GS, 05-Oct-2023, 95.00, 95.00, 95.00, 95.00, 95.00, 95.00, 95.00, 151, 0.14, 4, 151, 100.00
669GS2024, GS, 05-Oct-2023, 102.00, 101.10, 101.90, 101.10, 101.20, 101.20, 101.25, 12, 0.01, 4, 12, 100.00
676GS2061, GS, 05-Oct-2023, 92.20, 92.26, 93.76, 92.26, 93.50, 93.50, 92.93, 860, 0.80, 21, 860, 100.00
689GS2025, GS, 05-Oct-2023, 101.95, 101.50, 103.02, 100.51, 100.61, 100.64, 101.04, 8376, 8.46, 11, 5049, 60.28
68GS2060, GS, 05-Oct-2023, 96.75, 96.85, 96.85, 96.85, 96.85, 96.85, 96.85, 1, 0.00, 1, 1, 100.00
695GS2061, GS, 05-Oct-2023, 99.75, 99.70, 99.70, 97.50, 97.50, 97.50, 99.65, 2050, 2.04, 2, 2050, 100.00
699GS2026, GS, 05-Oct-2023, 102.21, 102.20, 102.20, 99.38, 99.38, 99.44, 99.44, 5000100, 4972.19, 27, 5000100, 100.00
699GS2051, GS, 05-Oct-2023, 98.10, 97.15, 97.15, 97.15, 97.15, 97.15, 97.15, 5, 0.00, 1, 5, 100.00
