SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
20MICRONS,EQ,09-MAR-2015,35.6,35.55,36.2,35.25,35.4,35.6,0,13870,496002.25,0,0,0
3IINFOTECH,EQ,09-MAR-2015,8,7.95,7.95,7.65,7.7,7.7,0,1204142,9346619.3,0,0,0
3MINDIA,EQ,09-MAR-2015,8098.7,7870,8143.3,7870,7905,7902.9,0,1000,7976675.5,0,0,0
3RDROCK,IT,09-MAR-2015,152.2,181,181,172,0.0,172.5,0,25863,4534646,0,0,0
8KMILES,EQ,09-MAR-2015,718.9,725,763,712.1,715,717.5,0,99456,73335395.9,0,0,0
A2ZINFRA,EQ,09-MAR-2015,19.35,19.05,19.5,18.5,18.6,18.6,0,364706,6916717.55,0,0,0
AARTIDRUGS,EQ,09-MAR-2015,1336.6,1331.8,1349,1298,1326,1323.45,0,4282,5707166.7,0,0,0
AARTIIND,EQ,09-MAR-2015,296.1,296,324.35,293.7,319.1,318.25,0,413243,129157545.05,0,0,0
AARVEEDEN,EQ,09-MAR-2015,46.45,46,47,44.1,44.95,45.2,0,1154,52557.4,0,0,0
ABAN,EQ,09-MAR-2015,501.3,495.7,509.8,488.1,491.75,492.45,0,1600294,802382962.85,0,0,0
ABB,EQ,09-MAR-2015,1374.15,1370,1378.75,1335,1339.15,1339.75,0,32945,44369105.05,0,0,0
ABBOTINDIA,EQ,09-MAR-2015,3836.95,3838.8,3890,3801,3857.9,3835.8,0,1957,7536398.15,0,0,0
ABCIL,EQ,09-MAR-2015,226.35,230,233,220.5,222.75,222.8,0,22938,5107692.8,0,0,0
ABGSHIP,EQ,09-MAR-2015,234,231.1,235.45,224.65,227.4,226.05,0,153175,35094746.65,0,0,0
ABIRLANUVO,EQ,09-MAR-2015,1686.75,1687,1687,1630.45,1635,1634.4,0,192562,318240753.2,0,0,0
ACC,EQ,09-MAR-2015,1698.65,1686,1689.8,1647.3,1660,1660.1,0,202470,337322562.8,0,0,0
ACCELYA,EQ,09-MAR-2015,1003.05,985.05,1003,985.05,994,999,0,6661,6652323.8,0,0,0
ACE,EQ,09-MAR-2015,44.75,43.3,44.5,42.5,42.95,42.7,0,365479,15713281.55,0,0,0
ACROPETAL,EQ,09-MAR-2015,3.3,3.3,3.5,3,3.1,3.15,0,22517,72218.2,0,0,0
ADANIENT,EQ,09-MAR-2015,699.45,694.9,694.9,663.4,665.5,665.75,0,1222416,826995132.2,0,0,0
ADANIPORTS,EQ,09-MAR-2015,333.05,331.55,335.9,323.5,323.6,325,0,1825760,600298806.05,0,0,0
ADANIPOWER,EQ,09-MAR-2015,59.4,58.15,58.15,54.5,54.85,54.95,0,17949958,1003243426.65,0,0,0
ADFFOODS,EQ,09-MAR-2015,63.8,63.85,64,62.5,62.7,62.75,0,34172,2147326.3,0,0,0
ADHUNIK,EQ,09-MAR-2015,19,19.5,19.5,18.15,18.25,18.45,0,38138,711230.6,0,0,0
ADORWELD,EQ,09-MAR-2015,207,209,209,199.05,206.95,205.1,0,11309,2313316.2,0,0,0
ADSL,EQ,09-MAR-2015,23.75,22.4,23.7,22.4,23.2,23.2,0,88403,2040159.75,0,0,0
ADVANIHOTR,EQ,09-MAR-2015,53.3,51.5,51.5,50.1,50.5,50.5,0,53,2678.25,0,0,0
ADVANTA,EQ,09-MAR-2015,413.75,423,435,415.05,421.5,421,0,52072,22025414.1,0,0,0
AEGISCHEM,EQ,09-MAR-2015,547.4,544,557,510.35,516,514.3,0,186158,97945541.1,0,0,0
AFL,EQ,09-MAR-2015,74.05,74.95,75,72.6,72.75,73.45,0,18031,1328551.75,0,0,0
AFTEK,BE,09-MAR-2015,5.8,5.95,5.95,5.6,5.75,5.65,0,33424,192107.55,0,0,0
AGARIND,EQ,09-MAR-2015,122.6,126.9,126.9,119.5,121.8,120.9,0,23272,2830444,0,0,0
AGCNET,EQ,09-MAR-2015,109.95,111.7,113.9,100,100.25,101.35,0,22626,2332679.95,0,0,0
AGRITECH,EQ,09-MAR-2015,6.55,6,7.2,6,7.15,6.95,0,3740,25034.75,0,0,0
AGRODUTCH,EQ,09-MAR-2015,3.4,3.15,3.5,3.15,3.2,3.2,0,3959,12980.45,0,0,0
AHLEAST,EQ,09-MAR-2015,177.1,178,178,168.9,172,173.5,0,3916,679991.45,0,0,0
AHLUCONT,EQ,09-MAR-2015,261.55,260,260.55,252,253.5,252.7,0,37334,9540050.5,0,0,0
AHLWEST,EQ,09-MAR-2015,123.15,123,131,123,130.9,126.1,0,33940,4395064.05,0,0,0
AHMEDFORGE,EQ,09-MAR-2015,266.5,266,275.9,256.95,267.75,269.65,0,210996,55878469.4,0,0,0
AIAENG,EQ,09-MAR-2015,1194.15,1194.2,1216.7,1182.1,1205,1206.65,0,57868,69644027.95,0,0,0
AICHAMP,BE,09-MAR-2015,16.45,15.95,17.2,15.95,17.2,17.2,0,105,1681,0,0,0
AIL,EQ,09-MAR-2015,713.25,711,725.9,704.35,704.7,706.5,0,39889,28337618.85,0,0,0
AJANTPHARM,EQ,09-MAR-2015,2996.2,2996.2,3045,2940,2997,2975.8,0,28143,84407534.4,0,0,0
AJMERA,EQ,09-MAR-2015,118.1,117.05,120.95,115.25,115.75,115.7,0,22216,2581253.05,0,0,0
AKSHOPTFBR,EQ,09-MAR-2015,16.1,16,16.2,15.6,15.75,15.8,0,332258,5303886.35,0,0,0
AKZOINDIA,EQ,09-MAR-2015,1495.4,1495.4,1508.9,1469,1470,1475.8,0,10933,16281913.5,0,0,0
